,sentence,sentiment_values
3325,"The Movie is clever , offbeat and even gritty enough to overcome my resistance .",3
3326,brought to life on the big screen .,3
3327,An exquisitely crafted and acted tale .,4
3328,"An eloquent , reflective and beautifully acted meditation on both the profoundly devastating events of one year ago and the slow , painful healing process that has followed in their wake .",4
3329,"Though Mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a Jules and Jim for the new millennium .",3
3330,Like being able to hit on a 15-year old when you 're over 100 .,1
3331,"I have always appreciated a smartly written motion picture , and , whatever flaws Igby Goes Down may possess , it is undeniably that .",3
3332,It 's the brilliant surfing photography bringing you right inside the massive waves that lifts Blue Crush into one of the summer 's most pleasurable movies .,4
3333,"A provocative movie about loss , anger , greed , jealousy , sickness and love .",3
3334,", The Sum of All Fears is simply a well-made and satisfying thriller .",4
3335,There is simply no doubt that this film asks the right questions at the right time in the history of our country .,4
3336,To be oblivious to the existence of this film would be very sweet indeed .,1
3337,... its solemn pretension prevents us from sharing the awe in which it holds itself .,1
3338,"Though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance .",4
3339,It 's a scathing portrayal .,2
3340,Represents something very close to the nadir of the thriller\/horror genre .,2
3341,"In the end , all you can do is admire the ensemble players and wonder what the point of it is .",2
3342,"The direction has a fluid , no-nonsense authority , and the performances by Harris , Phifer and Cam ` ron seal the deal .",3
3343,The end result is a film that 's neither .,1
3344,This is her Blue Lagoon .,2
3345,"A pleasant , if forgettable , romp of a film .",2
3346,( A ) satisfying niblet .,3
3347,"The film did n't move me one way or the other , but it was an honest effort and if you want to see a flick about telemarketers this one will due .",2
3348,The experience of watching blobby old-school CGI animation in this superlarge format is just surreal enough to be diverting .,3
3349,Maintains your sympathy for this otherwise challenging soul by letting you share her one-room world for a while .,3
3350,"If there was ever a movie where the upbeat ending feels like a copout , this is the one .",1
3351,Too infuriatingly quirky and taken with its own style .,1
3352,"Below may not mark Mr. Twohy 's emergence into the mainstream , but his promise remains undiminished .",3
3353,"A funny , triumphant , and moving documentary .",4
3354,"as in aimless , arduous , and arbitrary .",1
3355,"A Generation X artifact , capturing a brief era of insanity in the sports arena that surely can not last .",1
3356,Will you go ape over this movie ?,2
3357,"In the end , there is n't much to it .",0
3358,"For the future , one hopes Mr. Plympton will find room for one more member of his little band , a professional screenwriter .",0
3359,About Schmidt is undoubtedly one of the finest films of the year .,4
3360,Go .,2
3361,... there 's enough cool fun here to warm the hearts of animation enthusiasts of all ages .,3
3362,Dilbert without the right-on satiric humor .,2
3363,"If the film 's vision of sport as a secular religion is a bit cloying , its through-line of family and community is heartening in the same way that each season marks a new start .",3
3364,`` Roger Michell ( '' Notting Hill `` ) directs a morality thriller . '',2
3365,Shyamalan should stop trying to please his mom .,1
3366,It is n't quite one of the worst movies of the year .,0
3367,"As it abruptly crosscuts among the five friends , it fails to lend the characters ' individual stories enough dramatic resonance to make us care about them .",1
3368,"Kids will love its fantasy and adventure , and grownups should appreciate its whimsical humor .",4
3369,I have n't seen such self-amused trash since Freddy Got Fingered .,1
3370,"With so many bad romances out there , this is the kind of movie that deserves a chance to shine .",3
3371,The Komediant is a tale worth catching .,3
3372,A giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of Oscar-winners : Susan Sarandon and Goldie Hawn .,3
3373,All of the filmmakers ' calculations ca n't rescue Brown Sugar from the curse of blandness .,0
3374,It 's impossible to even categorize this as a smutty guilty pleasure .,1
3375,"As it turns out , you can go home again .",3
3376,A tedious parable about honesty and good sportsmanship .,2
3377,"` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .",2
3378,What results is the best performance from either in years .,4
3379,"This hastily mounted production exists only to capitalize on Hopkins ' inclination to play Hannibal Lecter again , even though Harris has no immediate inclination to provide a fourth book .",0
3380,"Got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1\/2 - hour , dissipated length .",3
3381,Speaks eloquently about the symbiotic relationship between art and life .,4
3382,"For proof of that on the cinematic front , look no further than this 20th anniversary edition of the film that Spielberg calls , retrospectively , his most personal work yet .",3
3383,"While not quite `` Shrek '' or `` Monsters , Inc. '' , it 's not too bad .",3
3384,... a roller-coaster ride of a movie,4
3385,"He just wants them to be part of the action , the wallpaper of his chosen reality .",3
3386,"A very well-made , funny and entertaining picture .",4
3387,A surprisingly sweet and gentle comedy .,3
3388,"A drama of great power , yet some members of the audience will leave the theater believing they have seen a comedy .",2
3389,A film of precious increments artfully camouflaged as everyday activities .,3
3390,It recycles every cliche about gays in what is essentially an extended soap opera .,0
3391,"Mattei so completely loses himself to the film 's circular structure to ever offer any insightful discourse on , well , Love in the Time of Money .",1
3392,There 's a disturbing ` Great White Hope ' undertone to The Other Side of Heaven that subtly undermines its message of Christian love and compassion .,2
3393,"Tim Allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy .",4
3394,So-so entertainment .,2
3395,A well made indieflick in need of some trims and a more chemistry between its stars .,3
3396,"It 's both degrading and strangely liberating to see people working so hard at leading lives of sexy intrigue , only to be revealed by the dispassionate Gantz brothers as ordinary , pasty lumpen .",3
3397,"Bloody Sunday has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made .",4
3398,"The characters are so generic and the plot so bland that even as rogue CIA assassins working for Chris Cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for Damon\/Bourne or his predicament .",0
3399,"Young Everlyn Sampi , as the courageous Molly Craig , simply radiates star-power potential in this remarkable and memorable film .",4
3400,( Tries ) to parody a genre that 's already a joke in the United States .,1
3401,"The unique niche of self-critical , behind-the-scenes navel-gazing Kaufman has carved from Orleans ' story and his own infinite insecurity is a work of outstanding originality .",4
3402,"Disney 's live-action division has a history of releasing cinematic flotsam , but this is one occasion when they have unearthed a rare gem .",4
3403,"At times funny and at other times candidly revealing , it 's an intriguing look at two performers who put themselves out there because they love what they do .",4
3404,"It picked me up , swung me around , and dropped me back in my seat with more emotional force than any other recent film .",4
3405,"No amount of burning , blasting , stabbing , and shooting can hide a weak script .",0
3406,Lawrence plumbs personal tragedy and also the human comedy .,3
3407,I loved it !,4
3408,"Zhuangzhuang creates delicate balance of style , text , and subtext that 's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .",3
3409,... an inviting piece of film .,4
3410,"A few nonbelievers may rethink their attitudes when they see the joy the characters take in this creed , but skeptics are n't likely to enter the theater .",3
3411,"If you 're not into the Pokemon franchise , this fourth animated movie in four years wo n't convert you -- or even keep your eyes open .",0
3412,"It 's traditional moviemaking all the way , but it 's done with a lot of careful period attention as well as some very welcome wit .",4
3413,The very simple story seems too simple and the working out of the plot almost arbitrary .,0
3414,A romantic comedy that operates by the rules of its own self-contained universe .,3
3415,Feral and uncomfortable .,1
3416,"Instead of making his own style , director Marcus Adams just copies from various sources -- good sources , bad mixture",0
3417,"If the first Men in Black was money , the second is small change .",0
3418,"Not exaggerated enough to be a parody of gross-out flicks , college flicks , or even flicks in general .",1
3419,The irony is that this film 's cast is uniformly superb ; their performances could have -- should have -- been allowed to stand on their own .,3
3420,The disarming cornball atmosphere has a way of infecting the entire crowd as the film rolls on .,2
3421,"Although Disney follows its standard formula in this animated adventure , it feels more forced than usual .",1
3422,An excellent romp that boasts both a heart and a mind .,4
3423,"Well , they 're ` they ' .",2
3424,"Not as well-written as Sexy Beast , not as gloriously flippant as Lock , Stock and Two Smoking Barrels , but stylish and moody and exceptionally well-acted .",3
3425,The film ultimately offers nothing more than people in an urban jungle needing other people to survive ...,1
3426,Diane Lane shines in Unfaithful .,4
3427,it 's refreshing to see a movie that embraces its old-fashioned themes and in the process comes out looking like something wholly original .,4
3428,"Here 's my advice , Kev .",2
3429,"So fiendishly cunning that even the most jaded cinema audiences will leave the auditorium feeling dizzy , confused , and totally disorientated .",3
3430,"When she speaks , her creepy Egyptian demigod voice is as computer processed and overproduced as it was in her music .",0
3431,Old-fashioned but thoroughly satisfying entertainment .,3
3432,Much smarter and more attentive than it first sets out to be .,3
3433,"It 's a cookie-cutter movie , a cut-and-paste job .",1
3434,"Possession is in the end an honorable , interesting failure .",2
3435,"Without resorting to hyperbole , I can state that Kissing Jessica Stein may be the best same-sex romance I have seen .",4
3436,Chao was Chen Kaige 's assistant for years in China .,2
3437,"A sleep-inducingly slow-paced crime drama with clumsy dialogue , heavy-handed phoney-feeling sentiment , and an overly-familiar set of plot devices .",0
3438,A waste of good performances .,0
3439,Been there done that .,1
3440,"Such a premise is ripe for all manner of lunacy , but Kaufman and Gondry rarely seem sure of where it should go .",1
3441,"Remarkable for its excellent storytelling , its economical , compressed characterisations and for its profound humanity , it 's an adventure story and history lesson all in one .",4
3442,"A respectable but uninspired thriller that 's intelligent and considered in its details , but ultimately weak in its impact .",2
3443,Fulford-Wierzbicki ... deftly captures the wise-beyond-her-years teen .,3
3444,"High Crimes knows the mistakes that bad movies make and is determined not to make them , and maybe that is nobility of a sort .",2
3445,"Meandering , sub-aquatic mess : It 's so bad it 's good , but only if you slide in on a freebie .",0
3446,Just one bad idea after another .,1
3447,I do n't think most of the people who loved the 1989 Paradiso will prefer this new version .,1
3448,"The entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense .",1
3449,"There are touching moments in Etoiles , but for the most part this is a dull , dour documentary on what ought to be a joyful or at least fascinating subject .",1
3450,` CQ may one day be fondly remembered as Roman Coppola 's brief pretentious period before going on to other films that actually tell a story worth caring about,1
3451,"An unencouraging threefold expansion on the former MTV series , accompanying the stunt-hungry dimwits in a random series of collected gags , pranks , pratfalls , dares , injuries , etc. .",1
3452,"The editing is chaotic , the photography grainy and badly focused , the writing unintentionally hilarious , the direction unfocused , the performances as wooden .",0
3453,( Sam 's ) self-flagellation is more depressing than entertaining .,0
3454,Tends to plod .,1
3455,"So muddled , repetitive and ragged that it says far less about the horrifying historical reality than about the filmmaker 's characteristic style .",0
3456,Engagingly captures the maddening and magnetic ebb and flow of friendship .,4
3457,"It 's getting harder and harder to ignore the fact that Hollywood is n't laughing with us , folks .",1
3458,"The actors improvise and scream their way around this movie directionless , lacking any of the rollicking dark humor so necessary to make this kind of idea work on screen .",0
3459,A glossy knock-off of a B-movie revenge flick .,2
3460,"Exploits ( headbanger ) stereotypes in good fun , while adding a bit of heart and unsettling subject matter .",3
3461,"An acceptable way to pass a little over an hour with moviegoers ages 8-10 , but it 's unlikely to inspire anything more than a visit to McDonald 's , let alone some savvy street activism .",1
3462,An exercise in cynicism every bit as ugly as the shabby digital photography and muddy sound .,0
3463,"A powerful and telling story that examines forbidden love , racial tension , and other issues that are as valid today as they were in the 1950s .",4
3464,"The film takes the materials of human tragedy and dresses them in lovely costumes , Southern California locations and star power .",2
3465,"A loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target .",0
3466,A historical epic with the courage of its convictions about both scope and detail .,4
3467,Its initial excitement settles into a warmed over pastiche .,1
3468,It still feels like a prison stretch .,1
3469,"No matter how you slice it , Mark Wahlberg and Thandie Newton are not Hepburn and Grant , two cinematic icons with chemistry galore .",2
3470,"Kurys never shows why , of all the period 's volatile romantic lives , Sand and Musset are worth particular attention .",2
3471,"Everybody loves a David and Goliath story , and this one is told almost entirely from David 's point of view .",3
3472,Director Peter Kosminsky gives these women a forum to demonstrate their acting ` chops ' and they take full advantage .,3
3473,"I felt sad for Lise not so much because of what happens as because she was captured by this movie when she obviously belongs in something lighter and sunnier , by Rohmer , for example .",2
3474,"But it could be , by its art and heart , a necessary one .",3
3475,"Wimps out by going for that PG-13 rating , so the more graphic violence is mostly off-screen and the sexuality is muted .",1
3476,A great idea becomes a not-great movie .,1
3477,"Add yet another hat to a talented head , Clooney 's a good director .",4
3478,"Although mainstream American movies tend to exploit the familiar , every once in a while a film arrives from the margin that gives viewers a chance to learn , to grow , to travel .",3
3479,"About as enjoyable , I would imagine , as searching for a quarter in a giant pile of elephant feces ... positively dreadful .",0
3480,... a delicious crime drama on par with the slickest of Mamet .,4
3481,There 's no getting around the fact that this is Revenge Of The Nerds Revisited -- again .,2
3482,"And there 's an element of heartbreak to watching it now , with older and wiser eyes , because we know what will happen after Greene 's story ends .",3
3483,I loved this film .,4
3484,It may not be `` Last Tango in Paris '' but ...,2
3485,"both overstuffed and undernourished ... The film ca n't be called a solid success , although there 's plenty of evidence here to indicate Clooney might have better luck next time .",2
3486,` Opening up ' the play more has partly closed it down .,1
3487,This is a heartfelt story ... it just is n't a very involving one .,1
3488,A model of what films like this should be like .,4
3489,It 's supposed to be post-feminist breezy but ends up as tedious as the chatter of parrots raised on Oprah .,0
3490,Rife with nutty cliches and far too much dialogue .,1
3491,"B picture , and I mean that as a compliment .",2
3492,"Returning aggressively to his formula of dimwitted comedy and even dimmer characters , Sandler , who also executive produces , has made a film that makes previous vehicles look smart and sassy .",2
3493,If only it had the story to match .,1
3494,... contains very few laughs and even less surprises .,1
3495,"Streamlined to a tight , brisk 85-minute screwball thriller , `` Big Trouble '' is funny , harmless and as substantial as a tub of popcorn with extra butter .",2
3496,A well paced and satisfying little drama that deserved better than a ` direct-to-video ' release .,4
3497,Wonderful fencing scenes and an exciting plot make this an eminently engrossing film .,3
3498,"While the film is competent , it 's also uninspired , lacking the real talent and wit to elevate it beyond its formula to the level of classic romantic comedy to which it aspires .",1
3499,"It 's pretty linear and only makeup-deep , but Bogdanovich ties it together with efficiency and an affection for the period .",3
3500,A classic fairy tale that perfectly captures the wonders and worries of childhood in a way that few movies have ever approached .,4
3501,"A sun-drenched masterpiece , part parlor game , part psychological case study , part droll social satire .",4
3502,It is Scott 's convincing portrayal of Roger the sad cad that really gives the film its oomph .,3
3503,"Critics need a good laugh , too , and this too-extreme-for-TV rendition of the notorious MTV show delivers the outrageous , sickening , sidesplitting goods in steaming , visceral heaps .",2
3504,The riveting performances by the incredibly flexible cast make Love a joy to behold .,4
3505,"Compared to his series of spectacular belly flops both on and off the screen , RunTelDat is something of a triumph .",3
3506,"Chilling but uncommercial look into the mind of Jeffrey Dahmer , serial killer .",2
3507,"The film is all over the place , really .",0
3508,The problem is that Van Wilder does little that is actually funny with the material .,1
3509,The movie 's vision of a white American zealously spreading a Puritanical brand of Christianity to South Seas islanders is one only a true believer could relish .,1
3510,This is the first film I 've ever seen that had no obvious directing involved .,2
3511,Bond-inspired ?,2
3512,"Shanghai Ghetto , much stranger than any fiction , brings this unknown slice of history affectingly to life .",3
3513,"\/ But Daphne , you 're too Buff \/ Fred thinks he 's tough \/ And Velma - wow , you 've lost weight !",1
3514,"They 're going through the motions , but the zip is gone .",2
3515,"` Yes , that 's right : it 's Forrest Gump , Angel Of Death . '",3
3516,"The trick when watching Godard is to catch the pitch of his poetics , savor the pleasure of his sounds and images , and ponder the historical , philosophical , and ethical issues that intersect with them .",3
3517,This is one baaaaaaaaad movie .,0
3518,"The farcical elements seemed too pat and familiar to hold my interest , yet its diverting grim message is a good one .",2
3519,I 'm not generally a fan of vegetables but this batch is pretty cute .,2
3520,"Hardman is a grating , mannered onscreen presence , which is especially unfortunate in light of the fine work done by most of the rest of her cast .",2
3521,"Tells a fascinating , compelling story .",4
3522,"On the heels of The Ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness .",3
3523,"This is n't just the CliffsNotes version of Nicholas Nickleby , it 's the CliffsNotes with pages missing .",0
3524,"Despite all evidence to the contrary , this clunker has somehow managed to pose as an actual feature movie , the kind that charges full admission and gets hyped on TV and purports to amuse small children and ostensible adults .",1
3525,... spellbinding fun and deliciously exploitative .,4
3526,The best movie in many a moon about the passions that sometimes fuel our best achievements and other times leave us stranded with nothing more than our lesser appetites .,3
3527,That the Chuck Norris `` grenade gag '' occurs about 7 times during Windtalkers is a good indication of how serious-minded the film is .,2
3528,More than makes up for its mawkish posing by offering rousing spates of genuine feeling .,3
3529,"A predictable , manipulative stinker .",0
3530,"On a certain base level , Blue Crush delivers what it promises , just not well enough to recommend it .",2
3531,( Allen ) manages to breathe life into this somewhat tired premise .,3
3532,"In a 102-minute film , Aaliyah gets at most 20 minutes of screen time .",2
3533,Bogdanich is unashamedly pro-Serbian and makes little attempt to give voice to the other side .,1
3534,"Wasabi is slight fare indeed , with the entire project having the feel of something tossed off quickly ( like one of Hubert 's punches ) , but it should go down smoothly enough with popcorn .",3
3535,No wonder they 're talking about `` Talk to Her . '',2
3536,A stunning and overwhelmingly cogent case for Kissinger as a calculating war criminal .,2
3537,"Evelyn may be based on a true and historically significant story , but the filmmakers have made every effort to disguise it as an unimaginative screenwriter 's invention .",0
3538,The hypnotic imagery and fragmentary tale explore the connections between place and personal identity .,3
3539,"To enjoy this movie 's sharp dialogue and delightful performance by Jolie and Burns , you have to gloss over the no sense ending .",2
3540,"It falls far short of poetry , but it 's not bad prose .",3
3541,"The movie wavers between Hallmark card sentimentality and goofy , life-affirming moments straight out of a cellular phone commercial .",1
3542,You wo n't exactly know what 's happening but you 'll be blissfully exhausted .,2
3543,"For a guy who has waited three years with breathless anticipation for a new Hal Hartley movie to pore over , No Such Thing is a big letdown .",0
3544,It 's a refreshing change from the self-interest and paranoia that shape most American representations of Castro .,3
3545,"Fails in making this character understandable , in getting under her skin , in exploring motivation ... Well before the end , the film grows as dull as its characters , about whose fate it is hard to care .",0
3546,"Sluggishly directed by episodic TV veteran Joe Zwick , it 's a sitcom without the snap-crackle .",1
3547,Too timid to bring a sense of closure to an ugly chapter of the twentieth century .,1
3548,"Even if The Ring has a familiar ring , it 's still unusually crafty and intelligent for Hollywood horror .",3
3549,Two tedious acts light on great scares and a good surprise ending .,3
3550,"( A ) boldly stroked , luridly coloured , uni-dimensional nonsense machine that strokes the eyeballs while it evaporates like so much crypt mist in the brain .",1
3551,"comes off like a rejected ABC Afterschool Special , freshened up by the dunce of a Screenwriting 101 class .",0
3552,"It 's not a particularly good film , but neither is it a monsterous one .",2
3553,"An odd , haphazard , and inconsequential romantic comedy .",1
3554,"This series should have died long ago , but they keep bringing it back another day as punishment for paying money to see the last James Bond movie .",0
3555,"Thanks to confident filmmaking and a pair of fascinating performances , the way to that destination is a really special walk in the woods .",4
3556,"A real movie , about real people , that gives us a rare glimpse into a culture most of us do n't know .",3
3557,"All in all , it 's a pretty good execution of a story that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own .",3
3558,"... only Bond can save us from the latest eccentric , super-wealthy megalomaniac bent on world domination and destruction .",2
3559,Not exactly the Bees Knees,1
3560,Those who managed to avoid the Deconstructionist theorizing of French philosopher Jacques Derrida in college can now take an 85-minute brush-up course with the documentary Derrida .,1
3561,"It 's up to you to decide whether to admire these people 's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of American life .",2
3562,` How many more voyages can this limping but dearly-loved franchise survive ? ',2
3563,But what about the countless other people who 'd merely like to watch a solid tale about a universally interesting soul ?,2
3564,With Spy Kids 2 : The Island of Lost Dreams writer\/director\/producer Robert Rodriguez has cobbled together a film that feels like a sugar high gone awry .,0
3565,"If you want a movie time trip , the 1960 version is a far smoother ride .",1
3566,"Taken purely as an exercise in style , this oppressively gloomy techno-horror clambake is impossible to ignore .",2
3567,"( It 's ) difficult to get beyond the overall blandness of American Chai , despite its likable performances and refreshingly naive point of view .",1
3568,"The film is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller .",4
3569,"Suffice to say that after seeing this movie in IMAX form , you 'll be more acquainted with the tiniest details of Tom Hanks ' face than his wife is .",2
3570,"Sinks into the usual cafeteria goulash of fart jokes , masturbation jokes , and racist Japanese jokes .",2
3571,A prolonged extrusion of psychopathic pulp .,1
3572,"Terry is a sort of geriatric Dirty Harry , which will please Eastwood 's loyal fans -- and suits the story , wherein our hero must ride roughshod over incompetent cops to get his man .",3
3573,"If there 's a heaven for bad movies , Deuces Wild is on its way .",0
3574,"Watching the chemistry between Freeman and Judd , however , almost makes this movie worth seeing .",3
3575,Ca n't kick about the assembled talent and the Russos show genuine promise as comic filmmakers .,2
3576,There is a difference between movies with the courage to go over the top and movies that do n't care about being stupid,1
3577,"It makes compelling , provocative and prescient viewing .",4
3578,There 's something fundamental missing from this story : something or someone to care about .,1
3579,Elvira fans could hardly ask for more .,4
3580,"As a movie , it never seems fresh and vital .",2
3581,"If you think it 's a riot to see Rob Schneider in a young woman 's clothes , then you 'll enjoy The Hot Chick .",3
3582,No amount of good intentions is able to overcome the triviality of the story .,0
3583,"A highly watchable , giggly little story with a sweet edge to it .",3
3584,"Elegantly crafted but emotionally cold , a puzzle whose intricate construction one can admire but is difficult to connect with on any deeper level .",1
3585,"It 's so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary .",1
3586,A straight-shooting family film which awards animals the respect they 've rarely been given .,4
3587,A sleep-inducing thriller with a single twist that everyone except the characters in it can see coming a mile away .,1
3588,"It is supremely unfunny and unentertaining to watch middle-age and older men drink to excess , piss on trees , b.s. one another and put on a show in drag .",0
3589,Mr. Soderbergh 's direction and visual style struck me as unusually and unimpressively fussy and pretentious .,0
3590,An unintentionally surreal kid 's picture ... in which actors in bad bear suits enact a sort of inter-species parody of a VH1 Behind the Music episode .,1
3591,"A delightful little film that revels in its own simplicity , Mostly Martha will leave you with a smile on your face and a grumble in your stomach .",3
3592,The performances are uniformly good .,3
3593,"I 'm sure if you 're a Hartley fan , you might enjoy yourself ... Me , I did n't care for it .",2
3594,"There is a kind of attentive concern that Hoffman brings to his characters , as if he has been giving them private lessons , and now it is time for their first public recital .",3
3595,Disreputable doings and exquisite trappings are dampened by a lackluster script and substandard performances .,1
3596,"Given too much time to consider the looseness of the piece , the picture begins to resemble the shapeless , grasping actors ' workshop that it is .",0
3597,"Writer-director David Jacobson and his star , Jeremy Renner , have made a remarkable film that explores the monster 's psychology not in order to excuse him but rather to demonstrate that his pathology evolved from human impulses that grew hideously twisted .",4
3598,A lame comedy .,0
3599,`` On Guard ! '',2
3600,"A few energetic stunt sequences briefly enliven the film , but the wheezing terrorist subplot has n't the stamina for the 100-minute running time , and the protagonists ' bohemian boorishness mars the spirit of good clean fun .",2
3601,Seldom has a movie so closely matched the spirit of a man and his work .,4
3602,"Whether or not Ram Dass proves as clear and reliable an authority on that as he was about inner consciousness , Fierce Grace reassures us that he will once again be an honest and loving one .",3
3603,"While the film is not entirely successful , it still manages to string together enough charming moments to work .",3
3604,A chick flick for guys .,2
3605,MY LITTLE EYE is the best little `` horror '' movie I 've seen in years .,4
3606,"There 's very little sense to what 's going on here , but the makers serve up the cliches with considerable dash .",2
3607,Its juxtaposition of overwrought existentialism and stomach-churning gore will have you forever on the verge of either cracking up or throwing up .,2
3608,Woody Allen can write and deliver a one liner as well as anybody .,4
3609,Noyce films it more as a shocking history lesson than as drama .,2
3610,"Might have been better off as a documentary , with less of Mr. Eyre 's uninspired dramatics and more of his sense of observation and outrage .",1
3611,"Maybe it 's the star power of the cast or the redundant messages , but something aboul `` Full Frontal '' seems , well , contrived .",1
3612,I wish it would have just gone more over-the-top instead of trying to have it both ways .,1
3613,"Formulaic to the 51st power , more like .",1
3614,It 's not an easy one to review .,1
3615,"It may not be particularly innovative , but the film 's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding .",3
3616,"The film 's hackneyed message is not helped by the thin characterizations , nonexistent plot and pretentious visual style .",0
3617,... a funny yet dark and seedy clash of cultures and generations .,3
3618,"Before long , you 're desperate for the evening to end .",0
3619,... begins on a high note and sustains it beautifully .,3
3620,"Smart , sassy interpretation of the Oscar Wilde play .",4
3621,"Journalistically dubious , inept and often lethally dull .",0
3622,"The filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story .",3
3623,Um ... is n't that the basis for the entire plot ?,1
3624,A solidly seaworthy chiller .,3
3625,It 's such a mechanical endeavor ( that ) it never bothers to question why somebody might devote time to see it .,1
3626,"With Spy Kids 2 : The Island of Lost Dreams , the Spy Kids franchise establishes itself as a durable part of the movie landscape : a James Bond series for kids .",3
3627,The film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .,4
3628,Time Out is as serious as a pink slip .,1
3629,The movie is obviously a labour of love so Howard appears to have had free rein to be as pretentious as he wanted .,2
3630,Ya-Yas everywhere will forgive the flaws and love the film .,3
3631,"Uplifting as only a document of the worst possibilities of mankind can be , and among the best films of the year .",4
3632,"We 've seen the hippie-turned-yuppie plot before , but there 's an enthusiastic charm in Fire that makes the formula fresh again .",3
3633,"Deuces Wild treads heavily into Romeo and Juliet\/West Side Story territory , where it plainly has no business going .",1
3634,"Sets up a nice concept for its fiftysomething leading ladies , but fails loudly in execution .",1
3635,It seems like I have been waiting my whole life for this movie and now I ca n't wait for the sequel .,3
3636,It concentrates far too much on the awkward interplay and utter lack of chemistry between Chan and Hewitt .,1
3637,"By no means a great movie , but it is a refreshingly forthright one .",3
3638,"If the film has a problem , its shortness disappoints : You want the story to go on and on .",3
3639,"A movie more to be prescribed than recommended -- as visually bland as a dentist 's waiting room , complete with soothing Muzak and a cushion of predictable narrative rhythms .",0
3640,The cast is uniformly excellent and relaxed .,4
3641,... this movie has a glossy coat of action movie excess while remaining heartless at its core .,1
3642,There 's a reason the studio did n't offer an advance screening .,1
3643,There is greatness here .,4
3644,"What could have easily become a cold , calculated exercise in postmodern pastiche winds up a powerful and deeply moving example of melodramatic moviemaking .",4
3645,Enriched by a strong and unforced supporting cast .,4
3646,"For all its plot twists , and some of them verge on the bizarre as the film winds down , Blood Work is a strong , character-oriented piece .",2
3647,"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera .",3
3648,"Hollywood Ending is not show-stoppingly hilarious , but scathingly witty nonetheless .",3
3649,"A sham construct based on theory , sleight-of-hand , and ill-wrought hypothesis .",1
3650,Falters when it takes itself too seriously and when it depends too heavily on its otherwise talented cast to clown in situations that are n't funny .,1
3651,"Time stands still in more ways that one in Clockstoppers , a sci-fi thriller as lazy as it is interminable .",1
3652,"A loud , witless mess that has none of the charm and little of the intrigue from the TV series .",0
3653,Ca n't get enough of libidinous young city dwellers ?,2
3654,A beguiling splash of pastel colors and prankish comedy from Disney .,4
3655,"In the end , though , it is only mildly amusing when it could have been so much more .",2
3656,Hip-hop rarely comes alive as its own fire-breathing entity in this picture .,1
3657,"A culture-clash comedy that , in addition to being very funny , captures some of the discomfort and embarrassment of being a bumbling American in Europe .",3
3658,P.T. Anderson understands the grandness of romance and how love is the great equalizer that can calm us of our daily ills and bring out joys in our lives that we never knew were possible .,4
3659,Something has been lost in the translation ... another routine Hollywood frightfest in which the slack execution italicizes the absurdity of the premise .,1
3660,Rarely have I seen a film so willing to champion the fallibility of the human heart .,4
3661,But it 's also disappointing to a certain degree .,1
3662,Inconsequential road-and-buddy pic .,1
3663,"When the movie mixes the cornpone and the Cosa Nostra , it finds a nice rhythm .",3
3664,Best described as I Know What You Did Last Winter .,2
3665,"What makes Salton Sea surprisingly engrossing is that Caruso takes an atypically hypnotic approach to a world that 's often handled in fast-edit , hopped-up fashion .",4
3666,"Go , girls , right down the reality drain .",1
3667,Novak contemplates a heartland so overwhelmed by its lack of purpose that it seeks excitement in manufactured high drama .,1
3668,( Plays ) in broad outline as pandering middle-age buddy-comedy .,1
3669,"( Nelson 's ) movie about morally compromised figures leaves viewers feeling compromised , unable to find their way out of the fog and the ashes .",2
3670,"The special effects and many scenes of weightlessness look as good or better than in the original , while the Oscar-winning sound and James Horner 's rousing score make good use of the hefty audio system .",3
3671,"A long , dull procession of despair , set to cello music culled from a minimalist funeral .",0
3672,An ironic speculation on democracy in a culture unaccustomed to it .,2
3673,Done in mostly by a weak script that ca n't support the epic treatment .,0
3674,What does n't this film have that an impressionable kid could n't stand to hear ?,3
